id,order_id,product_id,product_name,size,color,quantity,unit_price,line_total
oi0001,o0001,p029,Slim Wool Sandals,42,White,2,332.03,664.06
oi0002,o0001,p040,Slim Linen Lipstick,One Size,Olive,2,145.94,291.88
oi0003,o0001,p033,Classic Wool Tee,L,Black,2,480.17,960.34
oi0004,o0002,p005,Slim Cashmere Trousers,M,Black,2,425.8,851.6
oi0005,o0002,p019,Premium Wool Belt,One Size,White,1,134.62,134.62
oi0006,o0002,p016,Luxe Linen Suit,L,White,1,236.79,236.79
oi0007,o0002,p018,Bold Wool Wallet,One Size,Black,1,306.49,306.49
oi0008,o0003,p025,Classic Knit Boots,39,Grey,2,295.58,591.16
oi0009,o0003,p038,Classic Cashmere Pants,M,Beige,2,441.81,883.62
oi0010,o0003,p002,Bold Cotton Dress,XL,White,2,302.44,604.88
oi0011,o0003,p037,Oversized Velvet Hoodie,XL,Olive,3,317.16,951.48
oi0012,o0004,p022,Modern Velvet Sunglasses,One Size,Grey,3,450.81,1352.43
oi0013,o0004,p043,Classic Velvet Mascara,One Size,Grey,1,283.81,283.81
oi0014,o0004,p044,Classic Suede Foundation,One Size,Beige,3,36.29,108.87
oi0015,o0004,p026,Luxe Cashmere Sneakers,39,Black,3,222.32,666.96
oi0016,o0005,p021,Premium Suede Hat,One Size,Navy,2,381.53,763.06
oi0017,o0005,p022,Modern Velvet Sunglasses,One Size,Brown,2,450.81,901.62
oi0018,o0005,p025,Classic Knit Boots,36,Brown,3,295.58,886.74
oi0019,o0005,p018,Bold Wool Wallet,One Size,Beige,1,306.49,306.49
oi0020,o0006,p031,Vintage Velvet Flats,40,Grey,1,155.92,155.92
oi0021,o0006,p043,Classic Velvet Mascara,One Size,Grey,2,283.81,567.62
oi0022,o0007,p026,Luxe Cashmere Sneakers,42,Brown,3,222.32,666.96
oi0023,o0007,p013,Luxe Cashmere Hoodie,XS,Brown,1,124.27,124.27
oi0024,o0007,p005,Slim Cashmere Trousers,XL,Olive,2,425.8,851.6
oi0025,o0007,p038,Classic Cashmere Pants,XS,Beige,3,441.81,1325.43
oi0026,o0008,p032,Minimal Suede Trainers,42,Grey,3,48.26,144.78
oi0027,o0008,p007,Premium Leather Top,S,Brown,3,491.91,1475.73
oi0028,o0008,p028,Classic Denim Heels,41,Black,1,107.07,107.07
oi0029,o0008,p024,Slim Wool Gloves,One Size,Cream,3,431.62,1294.86
oi0030,o0009,p006,Slim Denim Jacket,S,Olive,2,56.82,113.64
oi0031,o0009,p018,Bold Wool Wallet,One Size,Grey,3,306.49,919.47
oi0032,o0010,p018,Bold Wool Wallet,One Size,Black,1,306.49,306.49
oi0033,o0010,p039,Vintage Knit Perfume,One Size,Cream,1,491.25,491.25
oi0034,o0010,p036,Vintage Denim Jacket,S,Beige,3,81.82,245.46
oi0035,o0011,p016,Luxe Linen Suit,L,White,2,236.79,473.58
oi0036,o0011,p020,Bold Linen Scarf,One Size,Grey,3,80.63,241.89
oi0037,o0011,p043,Classic Velvet Mascara,One Size,Grey,3,283.81,851.43
oi0038,o0011,p038,Classic Cashmere Pants,L,Beige,3,441.81,1325.43
oi0039,o0012,p013,Luxe Cashmere Hoodie,L,Black,3,124.27,372.81
oi0040,o0012,p014,Classic Denim Coat,XL,Navy,3,305.28,915.84
oi0041,o0013,p001,Slim Wool Coat,XS,Navy,2,374.94,749.88
oi0042,o0013,p035,Luxe Knit Shorts,M,Cream,3,290.31,870.93
oi0043,o0013,p009,Classic Suede Shirt,L,Grey,1,368.98,368.98
oi0044,o0014,p004,Classic Denim Skirt,XS,Navy,2,182.32,364.64
oi0045,o0014,p017,Vintage Suede Bag,One Size,Cream,2,311.31,622.62
oi0046,o0015,p008,Modern Linen Cardigan,XL,Brown,2,196.69,393.38
oi0047,o0015,p036,Vintage Denim Jacket,S,Beige,3,81.82,245.46
oi0048,o0016,p040,Slim Linen Lipstick,One Size,White,3,145.94,437.82
oi0049,o0017,p011,Vintage Cotton Jacket,L,White,1,120.27,120.27
oi0050,o0018,p005,Slim Cashmere Trousers,XL,Black,3,425.8,1277.4
oi0051,o0018,p044,Classic Suede Foundation,One Size,Beige,1,36.29,36.29
oi0052,o0018,p015,Oversized Cotton Polo,S,Cream,3,346.22,1038.66
oi0053,o0018,p017,Vintage Suede Bag,One Size,Cream,1,311.31,311.31
oi0054,o0019,p030,Soft Silk Mules,38,Navy,3,434.03,1302.09
oi0055,o0020,p028,Classic Denim Heels,38,Black,3,107.07,321.21
oi0056,o0021,p012,Soft Linen Tee,XL,Grey,2,146.14,292.28
oi0057,o0022,p023,Minimal Suede Watch,One Size,Black,3,129.46,388.38
oi0058,o0022,p027,Oversized Denim Loafers,39,Brown,2,368.54,737.08
oi0059,o0022,p022,Modern Velvet Sunglasses,One Size,Brown,2,450.81,901.62
oi0060,o0022,p021,Premium Suede Hat,One Size,Cream,2,381.53,763.06
oi0061,o0023,p043,Classic Velvet Mascara,One Size,Grey,3,283.81,851.43
oi0062,o0024,p014,Classic Denim Coat,XL,Brown,2,305.28,610.56
oi0063,o0025,p036,Vintage Denim Jacket,S,Olive,1,81.82,81.82
oi0064,o0025,p001,Slim Wool Coat,XS,Cream,2,374.94,749.88
oi0065,o0025,p027,Oversized Denim Loafers,39,Brown,1,368.54,368.54
oi0066,o0026,p025,Classic Knit Boots,40,Navy,3,295.58,886.74
oi0067,o0026,p013,Luxe Cashmere Hoodie,XS,Black,1,124.27,124.27
oi0068,o0027,p010,Bold Silk Trousers,M,Grey,2,347.61,695.22
oi0069,o0027,p029,Slim Wool Sandals,39,Grey,3,332.03,996.09
oi0070,o0027,p035,Luxe Knit Shorts,S,Cream,2,290.31,580.62
oi0071,o0027,p031,Vintage Velvet Flats,40,White,1,155.92,155.92
oi0072,o0028,p032,Minimal Suede Trainers,40,Olive,1,48.26,48.26
oi0073,o0028,p003,Oversized Suede Blouse,XS,White,2,114.44,228.88
oi0074,o0029,p017,Vintage Suede Bag,One Size,Brown,3,311.31,933.93
oi0075,o0029,p022,Modern Velvet Sunglasses,One Size,Grey,3,450.81,1352.43
oi0076,o0029,p040,Slim Linen Lipstick,One Size,Olive,3,145.94,437.82
oi0077,o0029,p026,Luxe Cashmere Sneakers,40,Black,1,222.32,222.32
oi0078,o0030,p011,Vintage Cotton Jacket,XS,White,2,120.27,240.54
oi0079,o0030,p020,Bold Linen Scarf,One Size,Grey,2,80.63,161.26
oi0080,o0030,p002,Bold Cotton Dress,S,White,1,302.44,302.44
oi0081,o0030,p003,Oversized Suede Blouse,XL,Navy,2,114.44,228.88
oi0082,o0031,p032,Minimal Suede Trainers,37,Grey,1,48.26,48.26
oi0083,o0031,p038,Classic Cashmere Pants,M,Beige,3,441.81,1325.43
oi0084,o0032,p023,Minimal Suede Watch,One Size,Grey,2,129.46,258.92
oi0085,o0032,p038,Classic Cashmere Pants,S,Beige,2,441.81,883.62
oi0086,o0032,p020,Bold Linen Scarf,One Size,Beige,2,80.63,161.26
oi0087,o0032,p041,Minimal Silk Cream,One Size,Navy,2,363.45,726.9
oi0088,o0033,p039,Vintage Knit Perfume,One Size,Cream,3,491.25,1473.75
oi0089,o0034,p041,Minimal Silk Cream,One Size,Grey,3,363.45,1090.35
oi0090,o0035,p021,Premium Suede Hat,One Size,Beige,1,381.53,381.53
oi0091,o0035,p027,Oversized Denim Loafers,40,Brown,2,368.54,737.08
oi0092,o0035,p012,Soft Linen Tee,S,Cream,2,146.14,292.28
oi0093,o0036,p044,Classic Suede Foundation,One Size,Beige,3,36.29,108.87
oi0094,o0036,p026,Luxe Cashmere Sneakers,36,Cream,2,222.32,444.64
oi0095,o0037,p041,Minimal Silk Cream,One Size,Olive,1,363.45,363.45
oi0096,o0037,p024,Slim Wool Gloves,One Size,Cream,3,431.62,1294.86
oi0097,o0037,p007,Premium Leather Top,XS,Black,1,491.91,491.91
oi0098,o0037,p044,Classic Suede Foundation,One Size,White,2,36.29,72.58
oi0099,o0038,p016,Luxe Linen Suit,S,Grey,3,236.79,710.37
oi0100,o0039,p032,Minimal Suede Trainers,39,Grey,3,48.26,144.78
oi0101,o0040,p044,Classic Suede Foundation,One Size,Beige,2,36.29,72.58
oi0102,o0041,p004,Classic Denim Skirt,S,Navy,2,182.32,364.64
oi0103,o0042,p010,Bold Silk Trousers,S,Black,2,347.61,695.22
oi0104,o0042,p039,Vintage Knit Perfume,One Size,Black,3,491.25,1473.75
oi0105,o0042,p001,Slim Wool Coat,XS,Navy,1,374.94,374.94
oi0106,o0043,p009,Classic Suede Shirt,L,Beige,3,368.98,1106.94
oi0107,o0044,p029,Slim Wool Sandals,37,White,3,332.03,996.09
oi0108,o0045,p026,Luxe Cashmere Sneakers,41,Cream,2,222.32,444.64
oi0109,o0045,p028,Classic Denim Heels,36,Brown,1,107.07,107.07
oi0110,o0045,p044,Classic Suede Foundation,One Size,Beige,3,36.29,108.87
oi0111,o0045,p007,Premium Leather Top,M,Black,1,491.91,491.91
oi0112,o0046,p007,Premium Leather Top,S,Brown,3,491.91,1475.73
oi0113,o0046,p008,Modern Linen Cardigan,S,Cream,2,196.69,393.38
oi0114,o0046,p042,Slim Denim Serum,One Size,Beige,2,417.09,834.18
oi0115,o0046,p036,Vintage Denim Jacket,XS,Navy,2,81.82,163.64
oi0116,o0047,p006,Slim Denim Jacket,L,Cream,1,56.82,56.82
oi0117,o0048,p023,Minimal Suede Watch,One Size,Grey,2,129.46,258.92
oi0118,o0048,p043,Classic Velvet Mascara,One Size,Black,1,283.81,283.81
oi0119,o0048,p028,Classic Denim Heels,39,Navy,3,107.07,321.21
oi0120,o0048,p004,Classic Denim Skirt,M,Beige,1,182.32,182.32
oi0121,o0049,p002,Bold Cotton Dress,M,Grey,3,302.44,907.32
oi0122,o0049,p012,Soft Linen Tee,XS,Olive,2,146.14,292.28
oi0123,o0049,p018,Bold Wool Wallet,One Size,Black,1,306.49,306.49
oi0124,o0050,p022,Modern Velvet Sunglasses,One Size,Brown,3,450.81,1352.43
oi0125,o0050,p011,Vintage Cotton Jacket,XS,Cream,3,120.27,360.81
oi0126,o0050,p024,Slim Wool Gloves,One Size,Cream,1,431.62,431.62
oi0127,o0050,p020,Bold Linen Scarf,One Size,Grey,1,80.63,80.63
oi0128,o0051,p033,Classic Wool Tee,L,Beige,2,480.17,960.34
oi0129,o0051,p008,Modern Linen Cardigan,XL,Cream,2,196.69,393.38
oi0130,o0052,p020,Bold Linen Scarf,One Size,Grey,1,80.63,80.63
oi0131,o0052,p014,Classic Denim Coat,XS,Brown,2,305.28,610.56
oi0132,o0053,p005,Slim Cashmere Trousers,XS,Brown,2,425.8,851.6
oi0133,o0053,p026,Luxe Cashmere Sneakers,42,Cream,1,222.32,222.32
oi0134,o0053,p003,Oversized Suede Blouse,L,Navy,3,114.44,343.32
oi0135,o0054,p040,Slim Linen Lipstick,One Size,White,3,145.94,437.82
oi0136,o0054,p030,Soft Silk Mules,42,Black,2,434.03,868.06
oi0137,o0055,p022,Modern Velvet Sunglasses,One Size,Brown,1,450.81,450.81
oi0138,o0055,p011,Vintage Cotton Jacket,S,White,3,120.27,360.81
oi0139,o0056,p039,Vintage Knit Perfume,One Size,Black,3,491.25,1473.75
oi0140,o0056,p010,Bold Silk Trousers,L,White,3,347.61,1042.83
oi0141,o0057,p029,Slim Wool Sandals,39,White,2,332.03,664.06
oi0142,o0057,p005,Slim Cashmere Trousers,M,Black,2,425.8,851.6
oi0143,o0058,p024,Slim Wool Gloves,One Size,Cream,2,431.62,863.24
oi0144,o0059,p021,Premium Suede Hat,One Size,Navy,2,381.53,763.06
oi0145,o0059,p039,Vintage Knit Perfume,One Size,Cream,2,491.25,982.5
oi0146,o0060,p024,Slim Wool Gloves,One Size,Beige,2,431.62,863.24
oi0147,o0060,p019,Premium Wool Belt,One Size,Cream,3,134.62,403.86
oi0148,o0061,p043,Classic Velvet Mascara,One Size,Brown,2,283.81,567.62
oi0149,o0061,p039,Vintage Knit Perfume,One Size,Cream,3,491.25,1473.75
oi0150,o0061,p010,Bold Silk Trousers,L,Black,2,347.61,695.22
oi0151,o0062,p042,Slim Denim Serum,One Size,White,3,417.09,1251.27
oi0152,o0063,p015,Oversized Cotton Polo,XS,Brown,1,346.22,346.22
oi0153,o0063,p009,Classic Suede Shirt,XL,Beige,1,368.98,368.98
oi0154,o0064,p010,Bold Silk Trousers,L,Black,1,347.61,347.61
oi0155,o0064,p011,Vintage Cotton Jacket,M,Grey,2,120.27,240.54
oi0156,o0064,p012,Soft Linen Tee,S,Cream,3,146.14,438.42
oi0157,o0064,p040,Slim Linen Lipstick,One Size,Olive,3,145.94,437.82
oi0158,o0065,p044,Classic Suede Foundation,One Size,Navy,2,36.29,72.58
oi0159,o0065,p037,Oversized Velvet Hoodie,XL,Black,3,317.16,951.48
oi0160,o0065,p029,Slim Wool Sandals,42,Black,1,332.03,332.03
oi0161,o0066,p034,Luxe Cotton Dress,M,Navy,1,470.97,470.97
oi0162,o0067,p029,Slim Wool Sandals,39,Black,1,332.03,332.03
oi0163,o0067,p023,Minimal Suede Watch,One Size,Black,2,129.46,258.92
oi0164,o0068,p009,Classic Suede Shirt,L,Beige,2,368.98,737.96
oi0165,o0068,p003,Oversized Suede Blouse,L,White,1,114.44,114.44
oi0166,o0069,p008,Modern Linen Cardigan,XS,Olive,1,196.69,196.69
oi0167,o0069,p019,Premium Wool Belt,One Size,White,2,134.62,269.24
oi0168,o0069,p016,Luxe Linen Suit,L,White,1,236.79,236.79
oi0169,o0069,p020,Bold Linen Scarf,One Size,Olive,3,80.63,241.89
oi0170,o0070,p016,Luxe Linen Suit,XS,White,1,236.79,236.79
oi0171,o0070,p037,Oversized Velvet Hoodie,XS,Olive,2,317.16,634.32
oi0172,o0070,p027,Oversized Denim Loafers,40,Brown,3,368.54,1105.62
oi0173,o0071,p002,Bold Cotton Dress,S,White,2,302.44,604.88
oi0174,o0071,p023,Minimal Suede Watch,One Size,Cream,3,129.46,388.38
oi0175,o0071,p005,Slim Cashmere Trousers,M,Olive,3,425.8,1277.4
oi0176,o0072,p009,Classic Suede Shirt,L,Grey,3,368.98,1106.94
oi0177,o0072,p005,Slim Cashmere Trousers,S,Olive,2,425.8,851.6
oi0178,o0073,p017,Vintage Suede Bag,One Size,Cream,2,311.31,622.62
oi0179,o0073,p003,Oversized Suede Blouse,M,White,3,114.44,343.32
oi0180,o0073,p042,Slim Denim Serum,One Size,Beige,1,417.09,417.09
oi0181,o0073,p013,Luxe Cashmere Hoodie,L,Black,2,124.27,248.54
oi0182,o0074,p006,Slim Denim Jacket,M,Olive,3,56.82,170.46
oi0183,o0074,p028,Classic Denim Heels,36,Brown,1,107.07,107.07
oi0184,o0074,p039,Vintage Knit Perfume,One Size,Cream,3,491.25,1473.75
oi0185,o0074,p012,Soft Linen Tee,XL,Grey,2,146.14,292.28
oi0186,o0075,p018,Bold Wool Wallet,One Size,Grey,3,306.49,919.47
oi0187,o0075,p041,Minimal Silk Cream,One Size,Olive,3,363.45,1090.35
oi0188,o0075,p004,Classic Denim Skirt,XL,Beige,1,182.32,182.32
oi0189,o0075,p005,Slim Cashmere Trousers,XS,Olive,2,425.8,851.6
oi0190,o0076,p044,Classic Suede Foundation,One Size,Navy,2,36.29,72.58
oi0191,o0076,p029,Slim Wool Sandals,40,Black,1,332.03,332.03
oi0192,o0077,p012,Soft Linen Tee,XL,Cream,2,146.14,292.28
oi0193,o0078,p032,Minimal Suede Trainers,42,Black,1,48.26,48.26
oi0194,o0078,p013,Luxe Cashmere Hoodie,S,Brown,2,124.27,248.54
oi0195,o0078,p008,Modern Linen Cardigan,XS,Brown,2,196.69,393.38
oi0196,o0079,p041,Minimal Silk Cream,One Size,Olive,2,363.45,726.9
oi0197,o0079,p012,Soft Linen Tee,S,Olive,1,146.14,146.14
oi0198,o0080,p040,Slim Linen Lipstick,One Size,Cream,1,145.94,145.94
oi0199,o0080,p006,Slim Denim Jacket,L,White,3,56.82,170.46
oi0200,o0081,p044,Classic Suede Foundation,One Size,Beige,3,36.29,108.87
oi0201,o0081,p034,Luxe Cotton Dress,XL,Navy,2,470.97,941.94
oi0202,o0081,p023,Minimal Suede Watch,One Size,Grey,1,129.46,129.46
oi0203,o0081,p009,Classic Suede Shirt,S,Navy,1,368.98,368.98
oi0204,o0082,p041,Minimal Silk Cream,One Size,Navy,2,363.45,726.9
oi0205,o0082,p036,Vintage Denim Jacket,XL,Beige,2,81.82,163.64
oi0206,o0083,p037,Oversized Velvet Hoodie,XS,Olive,1,317.16,317.16
oi0207,o0083,p003,Oversized Suede Blouse,M,Navy,3,114.44,343.32
oi0208,o0083,p002,Bold Cotton Dress,XL,Grey,1,302.44,302.44
oi0209,o0084,p016,Luxe Linen Suit,XS,White,2,236.79,473.58
oi0210,o0084,p044,Classic Suede Foundation,One Size,Navy,1,36.29,36.29
oi0211,o0084,p026,Luxe Cashmere Sneakers,39,Cream,2,222.32,444.64
oi0212,o0084,p020,Bold Linen Scarf,One Size,Olive,1,80.63,80.63
oi0213,o0085,p021,Premium Suede Hat,One Size,Navy,1,381.53,381.53
oi0214,o0086,p016,Luxe Linen Suit,M,Olive,3,236.79,710.37
oi0215,o0086,p011,Vintage Cotton Jacket,L,Grey,1,120.27,120.27
oi0216,o0086,p021,Premium Suede Hat,One Size,Cream,2,381.53,763.06
oi0217,o0086,p037,Oversized Velvet Hoodie,XS,White,2,317.16,634.32
oi0218,o0087,p019,Premium Wool Belt,One Size,Black,2,134.62,269.24
oi0219,o0088,p003,Oversized Suede Blouse,XL,Brown,3,114.44,343.32
oi0220,o0088,p026,Luxe Cashmere Sneakers,40,Cream,2,222.32,444.64
oi0221,o0088,p004,Classic Denim Skirt,L,Beige,1,182.32,182.32
oi0222,o0089,p026,Luxe Cashmere Sneakers,42,Cream,2,222.32,444.64
oi0223,o0090,p003,Oversized Suede Blouse,S,Navy,1,114.44,114.44
oi0224,o0091,p011,Vintage Cotton Jacket,M,Grey,3,120.27,360.81
oi0225,o0091,p026,Luxe Cashmere Sneakers,40,Brown,2,222.32,444.64
oi0226,o0091,p040,Slim Linen Lipstick,One Size,Olive,3,145.94,437.82
oi0227,o0092,p041,Minimal Silk Cream,One Size,Navy,2,363.45,726.9
oi0228,o0092,p002,Bold Cotton Dress,XL,Black,3,302.44,907.32
oi0229,o0092,p039,Vintage Knit Perfume,One Size,Olive,3,491.25,1473.75
oi0230,o0093,p013,Luxe Cashmere Hoodie,L,Black,1,124.27,124.27
oi0231,o0094,p034,Luxe Cotton Dress,M,Brown,3,470.97,1412.91
oi0232,o0094,p014,Classic Denim Coat,XL,Olive,2,305.28,610.56
oi0233,o0095,p013,Luxe Cashmere Hoodie,S,Black,2,124.27,248.54
oi0234,o0095,p016,Luxe Linen Suit,S,White,2,236.79,473.58
oi0235,o0095,p018,Bold Wool Wallet,One Size,Grey,3,306.49,919.47
oi0236,o0095,p036,Vintage Denim Jacket,M,Beige,2,81.82,163.64
oi0237,o0096,p010,Bold Silk Trousers,XS,White,2,347.61,695.22
oi0238,o0096,p019,Premium Wool Belt,One Size,Cream,2,134.62,269.24
oi0239,o0096,p003,Oversized Suede Blouse,S,Brown,2,114.44,228.88
oi0240,o0097,p016,Luxe Linen Suit,XL,Olive,3,236.79,710.37
